1651553886.dat<>令和納豆の宮下さんの名言  (297)
1651746389.dat<>益子 翼さんの名言  (138)
1569728538.dat<>マヨッタライチドヌケ 	 (183)
1316002115.dat<>人は一人では生きてゆけない (31)
1464695921.dat<>ドラえもんの道具にカッコ良く名前つけようぜ！ [無断転載禁止]&#169;2ch.net	 (154)
1619350178.dat<>失言も名言、格言なみに評価されるべきじゃないか？  (7)
1268208827.dat<>世界で一番きれいな一言 (440)
1326983925.dat<>辛そうで辛くない少し辛いラー油の法則 (18)
1335106315.dat<>双子座･天秤座･水瓶座はカレー納豆ウンコだね!! (41)
1595408640.dat<>新しい流行語を作りたい  (160)
1655624274.dat<>浦安中学校　過激過ぎる体罰　暴力  (3)
1386240532.dat<>君の名言 (36)
1655212646.dat<>☆要注意人物☆　SV高橋炎理香　ガイジBBA  (2)
1530439021.dat<>名言にマジレスするスレｗｗｗｗ 	 (11)
1480778422.dat<>河村隆一の名言 [無断転載禁止]&#169;2ch.net	 (15)
1490243748.dat<>死亡フラグを書いたら誰かがどうにかしてくれるスレ [無断転載禁止]&#169;2ch.net	 (15)
1341881850.dat<>小池栄子が吐いた暴言名言珍言を集めよう (28)
1403692920.dat<>笑うかどには福きたるとか言ったやつちょっとこい (23)
1476544821.dat<>ウゴウゴルーガのプリプリはかせ [無断転載禁止]&#169;2ch.net	 (17)
1555324373.dat<>このスレは今日から俺の日記帳 	 (10)
1335076840.dat<>名言・格言的なリレー小説『凡人の一生』 (30)
1489459969.dat<>拾ったネガティブ名言を貼り付けるスレ [無断転載禁止]&#169;2ch.net	 (16)
1381627762.dat<>矢口真里「いや～火遊びがすぎました」 (26)
1556596645.dat<>【平成終了】人として基本さえ押さえておけば… 	 (10)
1353750975.dat<>『だから？』に対抗する言葉 (29)
1331639993.dat<>「障害は不便ですが不幸ではありません」について (32)
1470749117.dat<>自分の中の格言を言ってそれを誰かに論破してもらうスレ [無断転載禁止]&#169;2ch.net	 (19)
1535268802.dat<>心に響いた名言頼む 	 (13)
1576632323.dat<>「王道」とは何か？ 	 (9)
1346742776.dat<>美輪明宏発言集 (33)
1522473016.dat<>アルアインあるある！ 	 (15)
1348888137.dat<>牧師とは悪魔のことと見つけたり (34)
1427006034.dat<>高杢禎彦「あの本はぼうろぼんではない」 [転載禁止]&copy;2ch.net	 (26)
1391185972.dat<>金沢しぐさとは？ (30)
1492339537.dat<>名言を論破するスレ [無断転載禁止]&#169;2ch.net	 (19)
1316885456.dat<>【ﾋﾞｯｸﾘﾊｳｽ】3日坊主めくり御教訓ｶﾚﾝﾀﾞｰ 2ヶ月目 (41)
1324972779.dat<>有名人の名言 (42)
